work,book_names,book_summary,book_category
30,A Return To Love,"1-Sentence-Summary: A Return To Love will help you let go of resentment, fear, and anger to have happier and healthier jobs and relationships by teaching you how to embrace the power of love.","['Business', 'Career', 'Communication Skills', 'Happiness', 'Leadership', 'Mindfulness', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Relationships', 'Self Improvement', 'Success', 'Work']"
31,A Short History Of Nearly Everything,"1-Sentence-Summary:聽A Short History Of Nearly Everything explains everything we鈥檝e learned about our world and the universe so far, including how they formed, how we learned to make sense of time, space and gravity, why it鈥檚 such a miracle that we鈥檙e alive and how much of our planet is still a complete mystery to us.",['Self Improvement']
32,A Splendid Exchange,"1-Sentence-Summary:聽A Splendid Exchange outlines the history of global trade, revealing its older than we think, has enabled the progress of civilization, and continues to change the world on a daily basis.","['Entrepreneurship', 'Self Improvement']"
33,A Universe From Nothing,"1-Sentence-Summary: A Universe From Nothing will enlarge your knowledge of our expanding universe by showing you how it began, what we鈥檙e learning about it now, and what will happen to it in the future.","['Future', 'History', 'Science']"
34,A Vindication Of The Rights Of Woman,1-Sentence-Summary: A Vindication Of The Rights Of Woman will help you make the world a more fair place by teaching some of the gender inequalities of the eighteenth century.,"['Culture', 'History', 'Philosophy', 'Politics', 'Relationships', 'Society']"
35,A Walk In The Woods,"1-Sentence-Summary: A Walk In The Woods tells the interesting story of the adventures Bill Bryson and Stephen Katz had while walking the beautiful, rugged, and historic Appalachian Trail.","['Environment', 'Fitness', 'Happiness', 'History', 'Motivation & Inspiration']"
36,A Whole New Mind,1-Sentence-Summary: A Whole New Mind is your guide to standing out in the competitive workplace by taking advantage of the big-picture skills of the right side of your brain.,"['Business', 'Career', 'Creativity', 'Mindfulness', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Self Improvement', 'Success', 'Work']"
37,A Woman of No Importance,"1-Sentence-Summary: A Woman of No Importance tells the fascinating and exciting story of Virginia Hall, an American who became one of the best spies for the Allies in World War II and helped significantly in the defeat of Nazi Germany.","['Biography', 'History', 'Leadership', 'Motivation & Inspiration', 'Politics']"
38,A World In Disarray,1-Sentence-Summary: A World In Disarray opens your mind to ways that you make the world more peaceful by guiding you through the major changes in global affairs since World War II.,"['Culture', 'History', 'Politics', 'Society']"
39,A Year With Peter Drucker,"1-Sentence-Summary:聽A Year With Peter Drucker compiles 52 lessons with weekly exercises into one comprehensive, year-long curriculum聽for managers, leaders, and those who aspire to be one or the other, based on the teachings of the father of modern management.",['Entrepreneurship']
40,Abundance,"1-Sentence-Summary:聽Abundance shows you the key technological trends being developed today, to give you a glimpse of a future that鈥檚 a lot brighter than you think and help you embrace the optimism we need to make it happen.","['Entrepreneurship', 'Self Improvement']"
41,Accidental Genius,"1-Sentence-Summary:聽Accidental Genius聽introduces you to the concept of freewriting, which you can use to solve complex problems, exercise your creativity, flesh out your ideas and even build a catalog of publishable work.",['Self Improvement']
42,Accounting Made Simple,"1-Sentence-Summary: Accounting Made Simple is your guide to learning the fundamental charts, equations, and concepts of managing a business鈥檚 financial statements.","['Business', 'Entrepreneurship', 'Money']"
43,Adaptive Markets,"1-Sentence-Summary: Adaptive Markets gives you a better understanding of how the movement of money in the world works by outlining the characteristics of the market, some of which are more like living creatures than you might think.","['Business', 'Economics', 'Entrepreneurship', 'Investing', 'Money', 'Personal Finance']"
44,Affluenza,1-Sentence-Summary: Affluenza asserts that the reason we are so unhappy is because of our obsession with consumption and the sickness that it brings upon ourselves and the world around us as well.,"['Culture', 'Environment', 'Future', 'Happiness', 'Mindfulness', 'Money', 'Personal Finance', 'Self Improvement', 'Society']"
45,Against Empathy,1-Sentence-Summary: Against Empathy explains the problems with society鈥檚 obsession with empathy and explores its limitations while giving us useful alternatives for situations in which it doesn鈥檛 work.,['Self Improvement']
46,Age Of Ambition,1-Sentence-Summary: Age Of Ambition explains how China has gone from impoverished and only developing to a world superpower and economic powerhouse in only the last 30 years. ,"['Culture', 'History', 'Politics', 'Society', 'Success']"
47,Age Of Anger,1-Sentence-Summary: Age Of Anger will help you understand the current state of the world better by explaining how we got to this present situation of upheaval we鈥檙e in and how we might stand a chance of making things better.,"['Culture', 'Future', 'History', 'Politics', 'Society']"
48,Agile Selling,1-Sentence-Summary: Agile Selling helps you become a great salesperson by identifying how successful people thrive in any sales position with the skills of learning and adapting quickly.,"['Business', 'Career', 'Marketing', 'Money', 'Productivity', 'Sales', 'Self Improvement', 'Success', 'Work']"
49,AI Superpowers,"1-Sentence-Summary: AI Superpowers will help you understand what to expect of the effect that artificial intelligence will have on your future job opportunities by diving into where China and the US, the world鈥檚 two leaders in AI, are heading with this breakthrough technology.","['Culture', 'Future', 'Science', 'Society', 'Technology', 'Work']"
50,Alchemy,1-Sentence-Summary: Alchemy is your guide to making magic happen in business and life by teaching you how to practice irrational thinking to stand out and come up with powerful solutions to your problems and those of others. ,"['Business', 'Career', 'Creativity', 'Entrepreneurship', 'Marketing', 'Motivation & Inspiration', 'Productivity', 'Sales', 'Success', 'Work']"
51,Alexander Hamilton,"1-Sentence-Summary: Alexander Hamilton will inspire you to boldly use your strengths to change the world as it tells the story of a poor orphan who grew to become one of the most intelligent, ambitious, and influential people in American history.","['Biography', 'History', 'Leadership', 'Motivation & Inspiration', 'Politics']"
52,Alexander The Great,"1-Sentence-Summary:聽Alexander The Great is one of the latest, most updated, and contemporary books on the life of the ancient, Macedonian king, who would extend his empire from a little slide of land in Greece through Persia, Egypt, all the way to India, forming the greatest empire the ancient world had ever seen.",['Self Improvement']
53,Algorithms To Live By,"1-Sentence-Summary:聽Algorithms To Live By explains how computer algorithms work, why their relevancy isn鈥檛 limited to the digital world and how you can make better decisions by strategically using the right algorithm at the right time, for example in dating, at home or in the office.",['Self Improvement']
54,Alibaba,"1-Sentence-Summary: Alibaba shares the inspiring story of Jack Ma鈥檚 hard work, entrepreneurial vision, and smart thinking that helped him build one of the most successful and influential companies in the world. ","['Biography', 'Business', 'Career', 'Creativity', 'Entrepreneurship', 'Happiness', 'Leadership', 'Management', 'Marketing', 'Money', 'Motivation & Inspiration', 'Productivity', 'Success', 'Work']"
55,Alibaba鈥檚 World,"1-Sentence-Summary:聽Alibaba鈥檚 World is an inside look at one of the world鈥檚 largest e-commerce companies from one of its聽first Western employees, who served as its vice president and head of international marketing for several years, showing how this company turned from startup to global player in just 15 years.",['Entrepreneurship']
56,All About Love,1-Sentence-Summary: All About Love teaches you how to get more affection and connection in your relationships by explaining why true love is so difficult these days and how to combat the unrealistic expectations society has set up that makes it so hard.,"['Communication Skills', 'Culture', 'Happiness', 'Parenting', 'Psychology', 'Relationships', 'Self Improvement', 'Society']"
57,All Marketers Are Liars,"1-Sentence-Summary:聽All Marketers Are Liars is based on the idea that we believe whatever we want to believe, and that it鈥檚 exactly this trait of ours, which marketers use (and sometimes abuse) to sell their products by infusing them with good stories 鈥?whether they鈥檙e true or not.",['Entrepreneurship']
58,Alone Together,1-Sentence-Summary: Alone Together is a book that will make you want to have a better relationship with technology by revealing just how much we rely on it and the ways our connection to it is growing worse and having negative effects on us all.,"['Culture', 'Happiness', 'Health', 'Productivity', 'Psychology', 'Self Improvement', 'Society', 'Technology']"
59,Altered Traits,1-Sentence-Summary: Altered Traits explores the science behind meditation techniques and the way they benefit and alter our mind and body.,['Self Improvement']
60,Amazon,1-Sentence-Summary: Amazon will help you make your business better by sharing what made Jeff Bezos鈥檚 gigantic company so successful at going from its humble beginnings to now dominating the e-commerce market.,"['Business', 'Marketing', 'Sales', 'Success', 'Technology']"
61,Amusing Ourselves To Death,1-Sentence-Summary:聽Amusing Ourselves To Death takes you through the history of media to highlight how entertainment鈥檚 standing in society has risen to the point where our addiction to it undermines our independent thinking.,['Self Improvement']
62,An American Sickness,"1-Sentence-Summary: An American Sickness will motivate you to see what you can do to help improve the state of healthcare in the United States by blowing open the recent greed, corruption, and selfishness of healthcare companies.","['Business', 'Culture', 'Health', 'Money', 'Society']"
63,An Astronaut鈥檚 Guide To Life On Earth,1-Sentence-Summary: An Astronaut鈥檚 Guide To Life On Earth teaches you how to live better by taking lessons from the rigorous requirements of going to outer space and applying them to everyday life. ,"['Happiness', 'Motivation & Inspiration', 'Philosophy', 'Self Improvement', 'Society']"
64,An Audience Of One,"1-Sentence-Summary: An Audience Of One is a practical and inspiring manual for creators who want to live from their art, showing a simple, purpose-driven path to achieve that goal.",['Self Improvement']
65,An Invisible Thread,1-Sentence-Summary: An Invisible Thread will help you feel more motivated to be kind to others by sharing the heartwarming story of the incredible friendship between a boy afflicted with poverty and a successful businesswoman.,['Relationships']
66,Anatomy Of An Epidemic,1-Sentence-Summary: Anatomy Of An Epidemic teaches you how to make better decisions about your mental health as it uncovers the questionable origin of medication and reveals the interesting connection between psychiatry and pharmaceutical companies.,"['Happiness', 'Health', 'Psychology', 'Society']"
67,"Animal, Vegetable, Miracle","1-Sentence-Summary: Animal, Vegetable, Miracle gives ways to improve your health and the environment by learning how to garden, cook, and eat more fruits and vegetables. ","['Culture', 'Environment', 'Health', 'Nutrition']"
68,Antifragile,"1-Sentence-Summary:聽Antifragile reveals how some systems thrive from shocks, volatility and uncertainty, instead of breaking from them, and how you can adapt more antifragile traits yourself to thrive in an uncertain and chaotic world.","['Entrepreneurship', 'Personal Finance', 'Self Improvement']"
69,Anything You Want,"1-Sentence-Summary:聽Anything You Want teaches you how to build a business that鈥檚 based on who you are, and can become anything you want it to be, rather than following the traditional paths of startup or corporate culture.",['Entrepreneurship']
70,Are You Fully Charged,"1-Sentence-Summary:聽Are You Fully Charged shows you the three keys to arriving at work and life with a battery that鈥檚 brimming with happiness and motivation, which are energy, interactions and meaning, and how to implement them in your day.",['Self Improvement']
71,"Arise, Awake","1-Sentence-Summary: Arise, Awake will inspire you to move forward with your entrepreneurial dreams by sharing the inspirational stories of six Indian entrepreneurs and the lessons they learned on the path to success.","['Business', 'Career', 'Creativity', 'Entrepreneurship', 'Money', 'Motivation & Inspiration', 'Productivity', 'Self Improvement', 'Success', 'Work']"
72,As A Man Thinketh,"1-Sentence-Summary:聽As A Man Thinketh is an essay and self-help classic, which argues that the key to mastering your life is harnessing the power of your thoughts and helps you cultivate the philosophy and attitude of a positive, successful person.",['Self Improvement']
73,Ask,1-Sentence-Summary: Ask shows you a method that helps you take the guesswork out of the equation so you can give your customers what they want even if they don鈥檛 know what they want.,"['Business', 'Career', 'Communication Skills', 'Entrepreneurship', 'Marketing', 'Money', 'Productivity', 'Psychology', 'Sales', 'Success', 'Work']"
74,At Home,"1-Sentence-Summary:聽At Home takes you on a tour of the modern home, using each room as occasion to reminisce about the history of its tradition, thus enlightening you with how the amenities and comforts of everyday life you now take for granted have come to be.",['Self Improvement']
75,Atomic Habits,"1-Sentence-Summary:聽Atomic Habits is the definitive guide to breaking bad behaviors and adopting good ones in four steps, showing you how small, incremental, everyday routines compound into massive, positive change over time.","['Happiness', 'Health', 'Mindfulness', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Relationships', 'Science', 'Self Improvement', 'Success', 'Work']"
76,Attached,"1-Sentence-Summary:聽Attached delivers a scientific explanation why some relationships thrive and steer a clear path over a lifetime, while others crash and burn, based on the human need for attachment and the three different styles of it.",['Self Improvement']
77,Awaken The Giant Within,"1-Sentence-Summary:聽Awaken The Giant Within is the psychological blueprint you can follow to wake up and start taking control of your life, starting in your mind, spreading through your body and then all the way through your relationships, work and finances until you鈥檙e the giant you were always meant to be.",['Self Improvement']
78,Aware,"1-Sentence-Summary: Aware is a comprehensive overview of the far-reaching benefits of meditation, rooted in both science and practice, enriched with actionable advice on how to practice mindfulness. ",['Self Improvement']
79,Bad Blood,1-Sentence-Summary: Bad Blood is the story of how Elizabeth Holmes promised the world a medical miracle that actually operated on deception and lies. ,['Entrepreneurship']
80,Bad Feminist,"1-Sentence-Summary: Bad Feminist will show you a new way of looking at equality by revealing some not so common ideas about race, gender, and feminism in the United States.","['Culture', 'Relationships', 'Sex', 'Society']"
81,Barbarians At The Gate,1-Sentence-Summary: Barbarians At The Gate shows you how not to run a business and reveals the shocking greed of corporate America in the 1980s by telling the story of the leveraged buyout of RJR Nabisco.,"['Biography', 'Business', 'History', 'Money']"
82,Barking Up The Wrong Tree,"1-Sentence-Summary:聽Barking Up The Wrong Tree turns standard success advice on its head by looking at both sides of many common arguments, like confidence, extroversion, or being nice, concluding it鈥檚 really other factors that decide if we win, and we control more of them than we think.","['Entrepreneurship', 'Self Improvement']"
83,Battle Hymn Of The Tiger Mother,1-Sentence-Summary: Battle Hymn Of The Tiger Mother opens your eyes to the potential benefits of tough love by sharing the traditionally Chinese parenting style and experiences of Amy Chua.,"['Culture', 'Education', 'Happiness', 'Parenting', 'Relationships']"
84,Be A Free Range Human,"1-Sentence-Summary: Be A Free Range Human inspires you to finally quit that 9-5 job that is sucking the life out of you and begin working for yourself by explaining why the 鈥渏ob security鈥?doesn鈥檛 exist anymore, helping you discover your passions, and identifying the steps you need to follow if you want to start a life of freedom and happiness.","['Career', 'Entrepreneurship', 'Happiness', 'Money', 'Motivation & Inspiration', 'Productivity', 'Self Improvement', 'Work']"
85,Be Fearless,"1-Sentence-Summary: Be Fearless shows that radical changes are more effective than small enhancements and urges us to be bold聽in trying to make progress.
","['Entrepreneurship', 'Self Improvement']"
86,Be Obsessed Or Be Average,"1-Sentence-Summary: Be Obsessed Or Be Average motivates you to get your heart into your work and live up to your true potential by identifying the thinking patterns and work habits of the passionate, successful, and driven Grant Cardone.","['Business', 'Career', 'Entrepreneurship', 'Happiness', 'Motivation & Inspiration', 'Self Improvement', 'Success', 'Work']"
87,Be Our Guest,1-Sentence-Summary: Be Our Guest shows you how to take better care of your customers by outlining the philosophy and systems that Disney has for taking care of theirs which have helped it become one of the most successful companies in the world.,"['Business', 'Communication Skills', 'Creativity', 'Entrepreneurship', 'Leadership', 'Management', 'Sales']"
88,Becoming,"1-Sentence-Summary: Becoming motivates you to move forward with your dreams regardless of your circumstances, criticism, or what people think is normal by sharing the life story of Michelle Obama.","['Biography', 'Career', 'Education', 'History', 'Leadership', 'Motivation & Inspiration', 'Parenting', 'Politics', 'Self Improvement', 'Success']"
89,Behave,"1-Sentence-Summary: Behave sets out to explain the reason behind human behavior, good or bad, by exploring the influences of brain chemistry and our environment.",['Self Improvement']
90,Behind The Beautiful Forevers,"1-Sentence-Summary: Behind The Beautiful Forevers will make you more grateful for what you have, look for ways to tear down corruption in the world, and help the poor by sharing the experiences of people living in the Annawadi slum in India.","['Culture', 'Politics', 'Society']"
91,Behind The Cloud,"1-Sentence-Summary:聽Behind The Cloud tells the story of Salesforce.com, one of the biggest and earliest cloud computing, software-as-a-service companies in the world and how it went from small startup to billion-dollar status.",['Entrepreneurship']
92,Benjamin Franklin: An American Life,1-Sentence-Summary:聽Benjamin Franklin: An American Life takes a thorough look at the life of one of the most influential humans that ever lived and explains how he could achieve such greatness in so many different fields and areas.,"['Biography', 'Business', 'Career', 'Creativity', 'Education', 'Entrepreneurship', 'Future', 'History', 'Leadership', 'Motivation & Inspiration', 'Philosophy', 'Politics', 'Productivity', 'Self Improvement', 'Work']"
93,Best Self,"1-Sentence-Summary: Best Self will help you become the hero you鈥檝e always wanted to be by teaching you how to be honest with yourself about what you desire, identify your toxic anti-self, and discover the traits of the greatest possible version of you that you can imagine.","['Happiness', 'Motivation & Inspiration', 'Self Improvement', 'Success', 'Work']"
94,Better Than Before,"1-Sentence-Summary:聽Better Than Before breaks down聽the latest research on聽how to break bad habits and develop good ones, in order to help聽you find your habit tendency and give you a few simple tools聽to聽start improving your own habits.",['Self Improvement']
95,Between The World And Me,1-Sentence-Summary: Between The World And Me helps us all fight prejudice and prepares young black men in the US for growing up by revealing Ta-Nehisi Coates鈥檚 reality of life as a black man dealing with racism in America.,"['Biography', 'Culture', 'History', 'Politics', 'Relationships', 'Society']"
96,Big Magic,"1-Sentence-Summary:聽Big Magic is the book that鈥檒l give you the courage you need to pursue your creative interests by showing you how to deal with your fears, notice ideas and act on them and take the stress out of creation.",['Self Improvement']
97,Big Potential,1-Sentence-Summary: Big Potential will show you that the real secret to success and thriving in all aspects of life is developing strong connections with others and treating them in a way that lifts them up.,"['Business', 'Career', 'Communication Skills', 'Culture', 'Happiness', 'Leadership', 'Management', 'Mindfulness', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Relationships', 'Self Improvement', 'Success', 'Work']"
98,Bird By Bird,"1-Sentence-Summary: Bird By Bird is Ann Lamott鈥檚 guide to using the power of routine, being yourself, rolling with the punches, and many other principles to become a better writer.","['Communication Skills', 'Creativity', 'Motivation & Inspiration', 'Productivity', 'Self Improvement']"
99,Bit Literacy,"1-Sentence-Summary:聽Bit Literacy shows you how to navigate the innumerable streams聽of digital information that flow towards us every single day and not聽become聽paralyzed or a slave to technology, thanks to a few simple systems to manage your media.",['Self Improvement']
100,Black Box Thinking,"1-Sentence-Summary:聽Black Box Thinking reveals that all paths to success lead through failure and what you can do to change your perspective on it, admit your mistakes, and build your own black box to consistently learn and improve from the feedback failure gives you.","['Entrepreneurship', 'Self Improvement']"
101,Blink,"1-Sentence-Summary:聽Blink explains what happens when you listen to your gut feeling, why these snap judgments are often much more efficient than conscious deliberating, and how to avoid your intuition leading you to wrong assumptions.",['Self Improvement']
102,Blitzscaling,"1-Sentence-Summary:聽Blitzscaling is the strategy some of today鈥檚 most valuable companies have used to achieve huge market shares, insanely fast growth, big profit margins, and become corporate giants in a very short time.",['Entrepreneurship']
103,Blue Ocean Shift,1-Sentence-Summary: Blue Ocean Shift guides you through the steps to beating out your competition by creating new markets that aren鈥檛 overcrowded.,"['Business', 'Career', 'Creativity', 'Entrepreneurship', 'Marketing', 'Money', 'Sales', 'Success', 'Work']"
104,Blueprint,1-Sentence-Summary: Blueprint helps you have hope for the goodness of the human race by revealing our biologically wired social tendencies that help us survive and thrive by working together.,"['Culture', 'Happiness', 'Motivation & Inspiration', 'Relationships', 'Science', 'Society']"
105,Bold,"1-Sentence-Summary:聽Bold shows you that exponential technology has democratized the power to change the world and build wealth, by putting it into everyone鈥檚 hands and explains which trends entrepreneurs will most benefit from in the future, how to capitalize on them and which challenges are really bold enough to impact us all.",['Entrepreneurship']
106,Boost!,1-Sentence-Summary: Boost! is a guide for becoming more productive at work by using the preparation and performance techniques that world-class athletes use to win gold medals.,"['Business', 'Career', 'Fitness', 'Happiness', 'Health', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Science', 'Self Improvement', 'Success', 'Work']"
107,Born A Crime,1-Sentence-Summary: Born A Crime will inspire you to make great things happen no matter what circumstances you鈥檙e born into by revealing the story of how Trevor Noah grew up as a mixed child in South Africa on the way to becoming an adult.,"['Biography', 'Business', 'Career', 'Education', 'History', 'Motivation & Inspiration', 'Politics', 'Self Improvement', 'Society', 'Success', 'Work']"
108,Born For This,"1-Sentence-Summary:聽Born For This shows you how to find the work you were meant to do, which actually might consist of many different forms of work over the course of your life, by showing you the power of a side hustle, proper risk-assessment, creating your own job and pursuing all of your passions 鈥?one at a time.","['Entrepreneurship', 'Self Improvement']"
109,Born To Run,"1-Sentence-Summary: Born To Run explains the natural benefits of long-distance running, and how you can become a better runner too, based on several years of research, experiences, and training.",['Self Improvement']
110,Bounce,"1-Sentence-Summary:聽Bounce shows you that training聽trumps talent every time, by explaining the science of deliberate practice, the mindset of high performers and how you can use those tools to become a master of whichever聽skill you choose.",['Self Improvement']
111,Braiding Sweetgrass,1-Sentence-Summary: Braiding Sweetgrass offers some great ways for all of us to take better care of and be more grateful for our planet by explaining the way that Native Americans view and take care of it.,"['Culture', 'Environment', 'Future', 'Happiness', 'Health', 'History', 'Mindfulness', 'Politics', 'Spirituality']"
112,Brain Rules,"1-Sentence-Summary: Brain Rules teaches you how to become more productive at work and life by giving proven facts about how your mind works better with good sleep, exercise, and learning with all the senses.","['Career', 'Fitness', 'Happiness', 'Health', 'Mindfulness', 'Productivity', 'Psychology', 'Science', 'Self Improvement', 'Success']"
113,Brainfluence,1-Sentence-Summary: Brainfluence will help you get more sales by revealing people鈥檚 subconscious thinking and their motivations in the decision-making process they use when buying.,"['Business', 'Communication Skills', 'Entrepreneurship', 'Marketing', 'Money', 'Sales']"
114,Brainstorm,1-Sentence-Summary: Brainstorm is a fascinating look into the teenage brain that explains why adolescents act so hormonally and recklessly.,['Self Improvement']
