,0
24,"23,22 1-sentence-summary a history of the world in 6 glass will give you some great conversation starter at your next party by teaching you the origin and impact of the world six favorite drink including beer wine alcoholic spirit tea coffee and soda
#"
25,"24,""23,1-sentence-summary a message to garcia teach you how to be the best at your job by becoming a dedicated worker with a good attitude about whatever task your company give you""
#"
26,"25,24 1-sentence-summary a mind for number will teach you how to learn math and science more efficiently and get good at them by understanding how your brain absorbs and process information even if these subject don t come naturally to you
#"
27,"26,""25,1-sentence-summary a monk s guide to happiness will help you find more joy in life by identifying the mental pitfall you fall into that make it so hard to have and how to shatter the shackle of suffering to finally find inner peace""
#"
28,"27,26 1-sentence-summary a more beautiful question will teach you how to ask more and better question showing you the power that the right question have to transform your life for the better
#"
29,"28,27 1-sentence-summary a new earth outline a crazy and destructive place we call home but not without showing u that we can all save it together by looking into our mind and detaching ourselves from our ego so we can practice acceptance and enjoyment
#"
30,"29,28 1-sentence-summary a people s history of the united state will help you improve the world by giving you a better understanding of the true sometimes shameful story of this america s rise to power
#"
31,"30,29 1-sentence-summary a return to love will help you let go of resentment fear and anger to have happier and healthier job and relationship by teaching you how to embrace the power of love
#"
32,"31,30 1-sentence-summary a short history of nearly everything explains everything we ve learned about our world and the universe so far including how they formed how we learned to make sense of time space and gravity why it s such a miracle that we re alive and how much of our planet is still a complete mystery to u
#"
33,"32,31 1-sentence-summary a splendid exchange outline the history of global trade revealing it older than we think ha enabled the progress of civilization and continues to change the world on a daily basis
#"
34,"33,32 1-sentence-summary a universe from nothing will enlarge your knowledge of our expanding universe by showing you how it began what we re learning about it now and what will happen to it in the future
#"
35,"34,""33,1-sentence-summary a vindication of the right of woman will help you make the world a more fair place by teaching some of the gender inequality of the eighteenth century""
#"
36,"35,34 1-sentence-summary a walk in the wood tell the interesting story of the adventure bill bryson and stephen katz had while walking the beautiful rugged and historic appalachian trail
#"
37,"36,""35,1-sentence-summary a whole new mind is your guide to standing out in the competitive workplace by taking advantage of the big-picture skill of the right side of your brain""
#"
38,"37,36 1-sentence-summary a woman of no importance tell the fascinating and exciting story of virginia hall an american who became one of the best spy for the ally in world war ii and helped significantly in the defeat of nazi germany
#"
39,"38,""37,1-sentence-summary a world in disarray open your mind to way that you make the world more peaceful by guiding you through the major change in global affair since world war ii""
#"
40,"39,38 1-sentence-summary a year with peter drucker compiles 52 lesson with weekly exercise into one comprehensive year-long curriculum for manager leader and those who aspire to be one or the other based on the teaching of the father of modern management
#"
41,"40,39 1-sentence-summary abundance show you the key technological trend being developed today to give you a glimpse of a future that s a lot brighter than you think and help you embrace the optimism we need to make it happen
#"
42,"41,40 1-sentence-summary accidental genius introduces you to the concept of freewriting which you can use to solve complex problem exercise your creativity flesh out your idea and even build a catalog of publishable work
#"
43,"42,41 1-sentence-summary accounting made simple is your guide to learning the fundamental chart equation and concept of managing a business s financial statement
#"
44,"43,42 1-sentence-summary adaptive market give you a better understanding of how the movement of money in the world work by outlining the characteristic of the market some of which are more like living creature than you might think
#"
45,"44,""43,1-sentence-summary affluenza asserts that the reason we are so unhappy is because of our obsession with consumption and the sickness that it brings upon ourselves and the world around u a well""
#"
46,"45,""44,1-sentence-summary against empathy explains the problem with society s obsession with empathy and explores it limitation while giving u useful alternative for situation in which it doesn t work""
#"
47,"46,""45,1-sentence-summary age of ambition explains how china ha gone from impoverished and only developing to a world superpower and economic powerhouse in only the last 30 year""
#"
48,"47,""46,1-sentence-summary age of anger will help you understand the current state of the world better by explaining how we got to this present situation of upheaval we re in and how we might stand a chance of making thing better""
#"
49,"48,""47,1-sentence-summary agile selling help you become a great salesperson by identifying how successful people thrive in any sale position with the skill of learning and adapting quickly""
#"
50,"49,48 1-sentence-summary ai superpower will help you understand what to expect of the effect that artificial intelligence will have on your future job opportunity by diving into where china and the u the world s two leader in ai are heading with this breakthrough technology
#"
51,"50,""49,1-sentence-summary alchemy is your guide to making magic happen in business and life by teaching you how to practice irrational thinking to stand out and come up with powerful solution to your problem and those of others""
#"
52,"51,50 1-sentence-summary alexander hamilton will inspire you to boldly use your strength to change the world a it tell the story of a poor orphan who grew to become one of the most intelligent ambitious and influential people in american history
#"
53,"52,51 1-sentence-summary alexander the great is one of the latest most updated and contemporary book on the life of the ancient macedonian king who would extend his empire from a little slide of land in greece through persia egypt all the way to india forming the greatest empire the ancient world had ever seen
#"
54,"53,52 1-sentence-summary algorithm to live by explains how computer algorithm work why their relevancy isn t limited to the digital world and how you can make better decision by strategically using the right algorithm at the right time for example in dating at home or in the office
#"
55,"54,53 1-sentence-summary alibaba share the inspiring story of jack ma s hard work entrepreneurial vision and smart thinking that helped him build one of the most successful and influential company in the world
#"
56,"55,54 1-sentence-summary alibaba s world is an inside look at one of the world s largest e-commerce company from one of it first western employee who served a it vice president and head of international marketing for several year showing how this company turned from startup to global player in just 15 year
#"
57,"56,""55,1-sentence-summary all about love teach you how to get more affection and connection in your relationship by explaining why true love is so difficult these day and how to combat the unrealistic expectation society ha set up that make it so hard""
#"
58,"57,56 1-sentence-summary all marketer are liar is based on the idea that we believe whatever we want to believe and that it s exactly this trait of ours which marketer use and sometimes abuse to sell their product by infusing them with good story – whether they re true or not
#"
59,"58,""57,1-sentence-summary alone together is a book that will make you want to have a better relationship with technology by revealing just how much we rely on it and the way our connection to it is growing worse and having negative effect on u all""
#"
60,"59,""58,1-sentence-summary altered trait explores the science behind meditation technique and the way they benefit and alter our mind and body""
#"
61,"60,""59,1-sentence-summary amazon will help you make your business better by sharing what made jeff bezos s gigantic company so successful at going from it humble beginning to now dominating the e-commerce market""
#"
62,"61,""60,1-sentence-summary amusing ourselves to death take you through the history of medium to highlight how entertainment s standing in society ha risen to the point where our addiction to it undermines our independent thinking""
#"
63,"62,61 1-sentence-summary an american sickness will motivate you to see what you can do to help improve the state of healthcare in the united state by blowing open the recent greed corruption and selfishness of healthcare company
#"
64,"63,""62,1-sentence-summary an astronaut s guide to life on earth teach you how to live better by taking lesson from the rigorous requirement of going to outer space and applying them to everyday life""
#"
65,"64,63 1-sentence-summary an audience of one is a practical and inspiring manual for creator who want to live from their art showing a simple purpose-driven path to achieve that goal
#"
66,"65,""64,1-sentence-summary an invisible thread will help you feel more motivated to be kind to others by sharing the heartwarming story of the incredible friendship between a boy afflicted with poverty and a successful businesswoman""
#"
67,"66,""65,1-sentence-summary anatomy of an epidemic teach you how to make better decision about your mental health a it uncovers the questionable origin of medication and reveals the interesting connection between psychiatry and pharmaceutical company""
#"
68,"67,66 1-sentence-summary animal vegetable miracle give way to improve your health and the environment by learning how to garden cook and eat more fruit and vegetable
#"
69,"68,67 1-sentence-summary antifragile reveals how some system thrive from shock volatility and uncertainty instead of breaking from them and how you can adapt more antifragile trait yourself to thrive in an uncertain and chaotic world
#"
70,"69,68 1-sentence-summary anything you want teach you how to build a business that s based on who you are and can become anything you want it to be rather than following the traditional path of startup or corporate culture
#"
71,"70,69 1-sentence-summary are you fully charged show you the three key to arriving at work and life with a battery that s brimming with happiness and motivation which are energy interaction and meaning and how to implement them in your day
#"
72,"71,70 1-sentence-summary arise awake will inspire you to move forward with your entrepreneurial dream by sharing the inspirational story of six indian entrepreneur and the lesson they learned on the path to success
#"
73,"72,71 1-sentence-summary a a man thinketh is an essay and self-help classic which argues that the key to mastering your life is harnessing the power of your thought and help you cultivate the philosophy and attitude of a positive successful person
#"
74,"73,""72,1-sentence-summary ask show you a method that help you take the guesswork out of the equation so you can give your customer what they want even if they don t know what they want""
#"
75,"74,73 1-sentence-summary at home take you on a tour of the modern home using each room a occasion to reminisce about the history of it tradition thus enlightening you with how the amenity and comfort of everyday life you now take for granted have come to be
#"
76,"75,74 1-sentence-summary atomic habit is the definitive guide to breaking bad behavior and adopting good one in four step showing you how small incremental everyday routine compound into massive positive change over time
#"
77,"76,75 1-sentence-summary attached delivers a scientific explanation why some relationship thrive and steer a clear path over a lifetime while others crash and burn based on the human need for attachment and the three different style of it
#"
78,"77,76 1-sentence-summary awaken the giant within is the psychological blueprint you can follow to wake up and start taking control of your life starting in your mind spreading through your body and then all the way through your relationship work and finance until you re the giant you were always meant to be
#"
79,"78,77 1-sentence-summary aware is a comprehensive overview of the far-reaching benefit of meditation rooted in both science and practice enriched with actionable advice on how to practice mindfulness
#"
80,"79,""78,1-sentence-summary bad blood is the story of how elizabeth holmes promised the world a medical miracle that actually operated on deception and lie""
#"
81,"80,79 1-sentence-summary bad feminist will show you a new way of looking at equality by revealing some not so common idea about race gender and feminism in the united state
#"
82,"81,""80,1-sentence-summary barbarian at the gate show you how not to run a business and reveals the shocking greed of corporate america in the 1980s by telling the story of the leveraged buyout of rjr nabisco""
#"
83,"82,81 1-sentence-summary barking up the wrong tree turn standard success advice on it head by looking at both side of many common argument like confidence extroversion or being nice concluding it s really other factor that decide if we win and we control more of them than we think
#"
84,"83,""82,1-sentence-summary battle hymn of the tiger mother open your eye to the potential benefit of tough love by sharing the traditionally chinese parenting style and experience of amy chua""
#"
85,"84,83 1-sentence-summary be a free range human inspires you to finally quit that 9-5 job that is sucking the life out of you and begin working for yourself by explaining why the job security doesn t exist anymore helping you discover your passion and identifying the step you need to follow if you want to start a life of freedom and happiness
#"
86,"85,84 1-sentence-summary be fearless show that radical change are more effective than small enhancement and urge u to be bold in trying to make progress
#"
87,"86,
#"
88,"87,85 1-sentence-summary be obsessed or be average motivates you to get your heart into your work and live up to your true potential by identifying the thinking pattern and work habit of the passionate successful and driven grant cardone
#"
89,"88,""86,1-sentence-summary be our guest show you how to take better care of your customer by outlining the philosophy and system that disney ha for taking care of theirs which have helped it become one of the most successful company in the world""
#"
90,"89,87 1-sentence-summary becoming motivates you to move forward with your dream regardless of your circumstance criticism or what people think is normal by sharing the life story of michelle obama
#"
91,"90,88 1-sentence-summary behave set out to explain the reason behind human behavior good or bad by exploring the influence of brain chemistry and our environment
#"
92,"91,89 1-sentence-summary behind the beautiful forevers will make you more grateful for what you have look for way to tear down corruption in the world and help the poor by sharing the experience of people living in the annawadi slum in india
#"
93,"92,90 1-sentence-summary behind the cloud tell the story of salesforce.com one of the biggest and earliest cloud computing software-as-a-service company in the world and how it went from small startup to billion-dollar status
#"
94,"93,""91,1-sentence-summary benjamin franklin an american life take a thorough look at the life of one of the most influential human that ever lived and explains how he could achieve such greatness in so many different field and area""
#"
95,"94,92 1-sentence-summary best self will help you become the hero you ve always wanted to be by teaching you how to be honest with yourself about what you desire identify your toxic anti-self and discover the trait of the greatest possible version of you that you can imagine
#"
96,"95,93 1-sentence-summary better than before break down the latest research on how to break bad habit and develop good one in order to help you find your habit tendency and give you a few simple tool to start improving your own habit
#"
97,"96,""94,1-sentence-summary between the world and me help u all fight prejudice and prepares young black men in the u for growing up by revealing ta-nehisi coates s reality of life a a black man dealing with racism in america""
#"
98,"97,95 1-sentence-summary big magic is the book that ll give you the courage you need to pursue your creative interest by showing you how to deal with your fear notice idea and act on them and take the stress out of creation
#"
99,"98,""96,1-sentence-summary big potential will show you that the real secret to success and thriving in all aspect of life is developing strong connection with others and treating them in a way that lift them up""
#"
100,"99,97 1-sentence-summary bird by bird is ann lamott s guide to using the power of routine being yourself rolling with the punch and many other principle to become a better writer
#"
101,"100,98 1-sentence-summary bit literacy show you how to navigate the innumerable stream of digital information that flow towards u every single day and not become paralyzed or a slave to technology thanks to a few simple system to manage your medium
#"
102,"101,99 1-sentence-summary black box thinking reveals that all path to success lead through failure and what you can do to change your perspective on it admit your mistake and build your own black box to consistently learn and improve from the feedback failure give you
#"
103,"102,100 1-sentence-summary blink explains what happens when you listen to your gut feeling why these snap judgment are often much more efficient than conscious deliberating and how to avoid your intuition leading you to wrong assumption
#"
104,"103,101 1-sentence-summary blitzscaling is the strategy some of today s most valuable company have used to achieve huge market share insanely fast growth big profit margin and become corporate giant in a very short time
#"
105,"104,""102,1-sentence-summary blue ocean shift guide you through the step to beating out your competition by creating new market that aren t overcrowded""
#"
106,"105,""103,1-sentence-summary blueprint help you have hope for the goodness of the human race by revealing our biologically wired social tendency that help u survive and thrive by working together""
#"
107,"106,104 1-sentence-summary bold show you that exponential technology ha democratized the power to change the world and build wealth by putting it into everyone s hand and explains which trend entrepreneur will most benefit from in the future how to capitalize on them and which challenge are really bold enough to impact u all
#"
108,"107,""105,1-sentence-summary boost is a guide for becoming more productive at work by using the preparation and performance technique that world-class athlete use to win gold medal""
#"
109,"108,""106,1-sentence-summary born a crime will inspire you to make great thing happen no matter what circumstance you re born into by revealing the story of how trevor noah grew up a a mixed child in south africa on the way to becoming an adult""
#"
110,"109,107 1-sentence-summary born for this show you how to find the work you were meant to do which actually might consist of many different form of work over the course of your life by showing you the power of a side hustle proper risk-assessment creating your own job and pursuing all of your passion – one at a time
#"
111,"110,108 1-sentence-summary born to run explains the natural benefit of long-distance running and how you can become a better runner too based on several year of research experience and training
#"
112,"111,109 1-sentence-summary bounce show you that training trump talent every time by explaining the science of deliberate practice the mindset of high performer and how you can use those tool to become a master of whichever skill you choose
#"
113,"112,""110,1-sentence-summary braiding sweetgrass offer some great way for all of u to take better care of and be more grateful for our planet by explaining the way that native american view and take care of it""
#"
114,"113,111 1-sentence-summary brain rule teach you how to become more productive at work and life by giving proven fact about how your mind work better with good sleep exercise and learning with all the sens
#"
115,"114,""112,1-sentence-summary brainfluence will help you get more sale by revealing people s subconscious thinking and their motivation in the decision-making process they use when buying""
#"
116,"115,""113,1-sentence-summary brainstorm is a fascinating look into the teenage brain that explains why adolescent act so hormonally and recklessly""
#"
117,"116,""114,1-sentence-summary brandwashed will help you make better buying decision by identifying the psychological tool that marketer use to turn your own brain against you and make you think that you need to buy their product""
#"
118,"117,115 1-sentence-summary brave will help you have the relationship career and everything else in life that you ve always wanted but have been afraid to go for by teaching you how to become more courageous
#"
119,"118,116 1-sentence-summary braving the wilderness offer a four-step process to find true belonging through authenticity bravery trust and vulnerability since it s mostly about learning to stand alone rather than trying to fit in
#"
120,"119,117 1-sentence-summary breakfast with socrates take you through an ordinary day in the company of extraordinary mind by linking each part of it to the core message of one of several great philosopher throughout history such a descartes nietzsche marx and even buddha
#"
121,"120,118 1-sentence-summary brief answer to the big question tackle some of the universe s biggest mystery a hawking explores the law that govern the cosmos and the future of humankind
#"
122,"121,119 1-sentence-summary broadcasting happiness is an encouraging resource that will help you boost your health and happiness in your relationship work and community by showing you how to unlock the power of positive word and story
#"
123,"122,""120,1-sentence-summary brotopia motivates you to be fairer in the workplace a an employee or employer by revealing the sad sexist state of silicon valley""
#"
124,"123,121 1-sentence-summary buddha s brain explains how world-changing thought leader like moses mohammed jesus gandhi and the buddha altered their brain with the power of their mind and how you can use the latest finding of neuroscience to do the same and become a more positive resilient mindful and happy person
#"
125,"124,""122,1-sentence-summary building a storybrand is your guide to turning your sale page and product into an adventure for your client by identifying the seven step to successful storytelling a a company and how to craft the clearest message possible so that they will understand and want to be part of it""
#"
126,"125,123 1-sentence-summary building social business will teach you how to change the world for the better by starting a company that doe good for mankind giving you all the answer about how they work and how to begin one of your own
#"
127,"126,""124,1-sentence-summary built to last examines what lie behind the extraordinary success of 18 visionary company and which principle and idea they ve used to thrive for a century""
#"
128,"127,""125,1-sentence-summary built to sell show you how to become a successful entrepreneur by explaining the step necessary to grow a small service company and one day sell it""
#"
129,"128,126 1-sentence-summary bullshit job asserts that roughly two out of every five people are stuck in work that is bereft of purpose and these worker could suffer psychological damage a a result
#"
130,"129,127 1-sentence-summary business adventure will teach you how to run a company invest in the stock market change job and many other thing by sharing some of the most interesting experience that big company and their leader have had over the last century
#"
131,"130,128 1-sentence-summary business model generation teach you how to start your own company by explaining the detail of matching your customer s need with your product s capability managing finance and everything else involved in the planning stage of entrepreneurship
#"
132,"131,""129,1-sentence-summary buyology show you how to spend le money by revealing the psychological trap that company use to hack your brain and get you to purchase their product without you even realizing they re doing it""
#"
133,"132,130 1-sentence-summary call sign chaos is a review of u foreign policy through the eye of general jim mattis who led force in afghanistan and iraq
#"
134,"133,131 1-sentence-summary can t hurt me is the story of david goggins who went from being overweight and depressed to becoming a record-breaking athlete inspiring military leader and world-class personal trainer
#"
135,"134,""132,1-sentence-summary capitalism and freedom help you understand some of the most important factor protecting your liberty by outlining the government s role in economics and how thing go best when political entity are small and stay out of the flow of money in a country""
#"
136,"135,""133,1-sentence-summary capitalism show you how the movement of money in the world really work by outlining the dominant system in the world and it origin and future""
#"
137,"136,134 1-sentence-summary carrot and stick explains how you can harness the power of incentive – carrot and stick – to change your bad behavior improve your self-control and reach your long-term goal
#"
138,"137,135 1-sentence-summary cashvertising teach you how to become an expert at marketing by using technique like using the power of authority following the three step of writing a perfect headline and appealing to the eight basic desire people have instead of spending million on ad
#"
139,"138,136 1-sentence-summary catalyst explains why extraordinary career growth requires the right stimulus at the right time to propel you to the next level and show you how to cultivate them
#"
140,"139,137 1-sentence-summary catch me if you can is the story of how frank abagnale one of the most famous con-artists in history faked over eight identity several profession and cashed over 2.5 million of forged check in the 1960s until the police finally caught him at age 21
#"
141,"140,""138,1-sentence-summary change by design make you a better problem solver at every aspect of life by outlining the design thinking process that company can use to innovate and improve""
#"
142,"141,139 1-sentence-summary change your question change your life will revolutionize your thinking with question that create a learning mindset
#"
143,"142,140 1-sentence-summary chaos monkey is a fun behind-the-scenes look that lift the veil on some of the weird mysterious and sometimes questionable practice going on behind closed door of mega startup in silicon valley
#"
144,"143,141 1-sentence-summary charlie munger teach you the investment approach and idea about life from warren buffett s business partner and billionaire charlie munger which the two have used for decade to run one of the most successful company in the world
#"
145,"144,142 1-sentence-summary chasing the scream is a scathing review of the failed war on drug explaining it history with surprising statistic and identifying new way that we can think about addiction recovery and drug law
#"
146,"145,143 1-sentence-summary chernobyl teach some fascinating and important history science and leadership lesson by diving into the detail of the event leading up to the worst nuclear disaster in human history and it aftermath
#"
147,"146,144 1-sentence-summary choose yourself is a call to give up traditional career path and take your life into your own hand by building good habit creating your own career and making a decision to choose yourself
#"
148,"147,""145,1-sentence-summary comfortably unaware is a well-researched compendium on how our food choice and animal agriculture impact the well-being of the whole planet""
#"
149,"148,""146,1-sentence-summary common sense is a classic piece of u history that will help you see the importance of society coming together to form a fair governmental system and how these idea paved the way for the american revolution""
#"
150,"149,147 1-sentence-summary company of one will teach you how going small not big when creating your own company will bring you independence income and lot of free time without the hassle of having to manage employee long meeting and forced growth
#"
151,"150,148 1-sentence-summary confession of an advertising man is the marketing bible of the 60 written by the father of advertising david ogilvy to inspire a philosophy of honesty hard work and ethical behavior in his industry
#"
152,"151,""149,1-sentence-summary conscious uncoupling will improve your love life by showing you how to break up the right way and why thing are going to be okay after you separate from someone you once loved""
#"
153,"152,150 1-sentence-summary contagious illustrates why certain idea and product spread better than others by sharing compelling story from the world of business social campaign and medium
#"
154,"153,151 1-sentence-summary content inc describes a six-step model you can use to do your marketing long before you need it without even having a product or spending a lot of money so your entrepreneurial venture will be a guaranteed success
#"
155,"154,152 1-sentence-summary cooked is a historical exploration of the human relationship with food and cooking combined with practical idea on how to improve your diet by preparing more of your own food
#"
156,"155,153 1-sentence-summary cosmos will make you smarter by teaching you the basic of how the universe work including our own solar system and it history
#"
157,"156,""154,1-sentence-summary counterclockwise is a critical look at current perspective on health with a particular focus on how we can improve our own when we shift from being mindless to mindful""
#"
158,"157,155 1-sentence-summary cradle to cradle uncovers the hidden problem with manufacturing how they affect our planet and what you can do to help by becoming eco-efficient
#"
159,"158,""156,1-sentence-summary creative confidence help break the mundanity of everyday work and life by exploring the power that being more innovative ha to improve happiness and success in many different area""
#"
160,"159,""157,1-sentence-summary creative school reveals how fundamentally broken our formal education system really is and how we can change our perspective to teach child the competency and thing they actually need to navigate the modern world""
#"
161,"160,158 1-sentence-summary creativity inc is an instruction manual for instilling inspiration into employee manager and boss by revealing the hidden force that get in the way based on over 30 year of experience of the president of pixar ed catmull
#"
162,"161,159 1-sentence-summary cribsheet is a smart guide on how to make the best parenting choice for you and your child by using an economic perspective and evidence-based advice based on scientific data
#"
163,"162,""160,1-sentence-summary crippled america make you a more informed citizen by sharing the political belief and reasoning behind billionaire and businessman donald j trump s plan to make his country great again""
#"
164,"163,161 1-sentence-summary crossing the chasm give high tech startup a marketing blueprint in order to make their product get the initial traction it need to eventually reach the majority of the market and not die in the chasm between early adopter and pragmatist
#"
165,"164,""162,1-sentence-summary crucial conversation will teach you how to avoid conflict and come to positive solution in high-stakes conversation so you can be effective in your personal and professional life""
#"
166,"165,163 1-sentence-summary crush it is the blueprint you need to turn your passion into your profession and will give you the tool to turn yourself into a brand leverage social medium produce great content and reap the financial benefit of it
#"
167,"166,164 1-sentence-summary crushing it is gary vaynerchuk s follow-up to his personal branding manifesto crush it in which he reiterates the importance of a personal brand and show you the endless possibility that come with building one today
#"
168,"167,165 1-sentence-summary dare to lead dispels common myth about modern-day workplace culture and show you that true leadership requires nothing but vulnerability value trust and resilience
#"
169,"168,166 1-sentence-summary daring greatly is a book about having the courage to be vulnerable in a world where everyone want to appear strong confident and like they know what they re doing
#"
170,"169,""167,1-sentence-summary dark money dive into the depth of the greed and corruption in the american political system by revealing the story of the koch brother who have been enabling the ultra-wealthy to influence political decision for decade""
#"
171,"170,""168,1-sentence-summary dataclysm give powerful motivation for being more honest online by using information collected from the internet to identify what all of u are really like under the veil of anonymity and how we a a society have changed recently""
#"
172,"171,169 1-sentence-summary david and goliath explains why underdog win in situation where the odds are stacked unfavorably against them and how you can do the same
#"
173,"172,170 1-sentence-summary decisive give you a scientific 4-step approach to making better decision in your life and career based on an extensive study of the available literature and research on the topic
#"
174,"173,""171,1-sentence-summary deep nutrition will help you get healthier by explaining the danger of modern dieting technique that are actually doing harm to your body and making you sick""
#"
175,"174,""172,1-sentence-summary deep thinking is a recap of the past fifty year of the information revolution and an attempt to identify where ai technology may lead u""
#"
176,"175,173 1-sentence-summary deep work proposes that we have lost our ability to focus deeply and immerse ourselves in a complex task showing you how to cultivate this skill again and focus more than ever before with four simple rule
#"
177,"176,174 1-sentence-summary delivering happiness explains how mega online shoe retailer zappos built a unique company culture and customer experience worth remembering which turned it into a billion dollar business
#"
178,"177,""175,1-sentence-summary descartes error will help you understand why the argument that the mind and body are disconnected is false by using neuroscience and interesting case study to identify how the body and our emotion play a vital role in logical thinking""
#"
179,"178,176 1-sentence-summary design to grow us coca-cola a an example of how keeping a company stable and flexible at the same time over decade is not only possible but a must to grow and scale your business across the globe
#"
180,"179,""177,1-sentence-summary design your future motivates you to get out of your limiting belief and fear that are holding you back from building a life you love by identifying why you got stuck in a career or job you hate and what step you must take to finally live your dream""
#"
181,"180,178 1-sentence-summary designing your life will show you how to break the shackle of your mundane 9-5 job by sharing exercise and tip that will direct you towards your true calling that fill you with passion purpose and fulfillment
#"
182,"181,179 1-sentence-summary difficult conversation identifies why we shy away from some conversation more than others and what we can do to navigate them successfully and without stress
#"
183,"182,""180,1-sentence-summary digital minimalism show u where to draw the line with technology and how taking time off our digital device is the key to living a focused life in a noisy world""
#"
184,"183,181 1-sentence-summary digital renaissance us empirical data to show that the digitization of medium ha led to a flood of art but that it average quality hasn t changed
#"
185,"184,182 1-sentence-summary disrupt yourself explains how you can harness the ever-accelerating power of disruptive innovation in your personal life be it to advance your career or to build a company that thrives by embracing your limitation focusing on your strength and staying flexible and curious along the way
#"
186,"185,183 1-sentence-summary do over shine a light on the four core skill you need to build an amazing career relationship skill character and hustle and show you how to develop each one of them and use them in different stage of your career
#"
187,"186,184 1-sentence-summary do the work is steven pressfield s follow-up to the war of art where he give you actionable tactic and strategy to overcome resistance the force behind procrastination
#"
188,"187,""185,1-sentence-summary do what you are will help you discover your personality type and how it can lead you to a more satisfying career that corresponds to your talent and interest""
#"
189,"188,""186,1-sentence-summary dollar and sense explains why it s so hard to manage money and teach you how to combat false cue and natural desire so you can manage your dollar in better way""
#"
190,"189,187 1-sentence-summary don t sweat the small stuff … and it s all small stuff will keep you from letting the little stressful thing in life like your email inbox rushing to train and annoying co-worker drive you insane and help you find peace and calm in a stressful world
#"
191,"190,188 1-sentence-summary doubt a history is a fascinating look at the historical influence of doubt on science religion and the way we think today
#"
192,"191,189 1-sentence-summary doughnut economics is a wake-up call to transform our capitalist worldview obsessed with growth into a more balanced sustainable perspective that allows both human and our planet to thrive
#"
193,"192,190 1-sentence-summary dreamland blow open the story of the united state opioid crisis from the frustrating greed and oversight that created it how drug dealer accelerated it s spread and what we re doing now to stop it
#"
