,book,response
13,21 Days To A Big Idea," 21 Days To A Big Idea shows you how to combine the creative and rational sides of your brain to come up with cool, new ideas and fun ways to implement them, which might even help you create a sustainable business in the long run, in as little as 21 days."
14,21 Lessons For The 21st Century," 21 Lessons For The 21st Century highlights today’s most pressing political, cultural, and economic challenges created by technology while helping us prepare for an uncertain future."
15,23 Things They Don’t Tell You About Capitalism,23 Things They Don’t Tell You About Capitalism will help you think more clearly about our current economic state by uncovering the hidden consequences of free-market capitalism and offering solutions that could give us all a more fair world.
16,30 Lessons For Loving,30 Lessons For Loving gives the relationship advice of hundreds of couples who have stayed together into old age and will teach you how to have happiness and longevity in your love life.
17,59 Seconds," 59 Seconds shows you several self-improvement hacks, grounded in the science of psychology, which you can use to improve your mindset, happiness and life in less than a minute."
18,60 Seconds & You’re Hired!,"60 Seconds & You’re Hired! is a guide to getting your dream job that will help you feel confident in your next interview by teaching you how to impress your interviewer with being concise, focusing on your strengths, and knowing what to do at every step of the process."
19,7 Strategies For Wealth And Happiness,"7 Strategies For Wealth And Happiness is the ultimate guide to improving your wealth through self-discipline, action, and a positive attitude toward work, money, and the people around you."
20,A Beautiful Mind,"A Beautiful Mind tells the fascinating story of the mathematical genius, mental illness, and miraculous recovery and success of John Nash Jr."
21,A Beginner’s Guide To The End,"A Beginner’s Guide To The End is your guide to using the principles of stillness, cleaning, and grief to prepare for your own or a loved one’s death."
22,A Brief History Of Everyone Who Ever Lived,A Brief History Of Everyone Who Ever Lived gives you another important perspective on mankind’s past and present through the lens of our genes.
23,A Brief History Of Time," A Brief History Of Time is Stephen Hawking’s way of explaining the most complex concepts and ideas of physics, such as space, time, black holes, planets, stars and gravity to the average Joe, so that even you and I can better understand how our planet was created, where it came from, and where it’s going."
24,A Crack In Creation,"A Crack In Creation will teach you all about the power of gene editing that is made possible with CRISPR by detailing how it works, the benefits and opportunities it opens up, and the ethical risks of using it on humans."
25,A Curious Mind," A Curious Mind is an homage to the power of asking questions, showing you how being curious can change your entire life, from the way you do business, to how you interact with your loved ones, or even shape your country."
26,A First-Rate Madness,"A First-Rate Madness shares the stories of many world leaders and explains how they prevailed despite their mental illnesses and struggles, showing you how to turn your psychological disadvantages into leadership strengths."
27,A Force For Good," A Force For Good is a universal call to turn our compassion outward and use it to improve ourselves and the world around us in science, religion, social issues, business and education."
28,A General Theory Of Love,A General Theory Of Love will help you reprogram your mind for better emotional intelligence and relationships by teaching you what three psychiatrists have to say about the science of why we experience love and other emotions.
29,A Guide To The Good Life," A Guide To The Good Life is a roadmap for Stoicism, showing you how you can cultivate this ancient philosophy in your own life, why it’s useful and what Stoics are really about."
30,A History Of The World In 6 Glasses,"A History Of The World In 6 Glasses will give you some great conversation starters at your next party by teaching you the origins and impact of the worlds six favorite drinks, including beer, wine, alcoholic spirits, tea, coffee, and soda."
31,A Message To Garcia,A Message To Garcia teaches you how to be the best at your job by becoming a dedicated worker with a good attitude about whatever tasks your company gives you.
32,A Mind For Numbers,"A Mind For Numbers will teach you how to learn math and science more efficiently and get good at them by understanding how your brain absorbs and processes information, even if these subjects don’t come naturally to you."
33,A Monk’s Guide To Happiness,A Monk’s Guide To Happiness will help you find more joy in life by identifying the mental pitfalls you fall into that make it so hard to have and how to shatter the shackles of suffering to finally find inner peace.
34,A More Beautiful Question,"A More Beautiful Question will teach you how to ask more and better questions, showing you the power that the right questions have to transform your life for the better."
35,A New Earth," A New Earth outlines a crazy and destructive place we call home, but not without showing us that we can all save it together, by looking into our minds and detaching ourselves from our ego, so we can practice acceptance and enjoyment."
36,A People’s History Of The United States,"A People’s History Of The United States will help you improve the world by giving you a better understanding of the true, sometimes shameful, story of this America’s rise to power."
37,A Return To Love,"A Return To Love will help you let go of resentment, fear, and anger to have happier and healthier jobs and relationships by teaching you how to embrace the power of love."
38,A Short History Of Nearly Everything," A Short History Of Nearly Everything explains everything we’ve learned about our world and the universe so far, including how they formed, how we learned to make sense of time, space and gravity, why it’s such a miracle that we’re alive and how much of our planet is still a complete mystery to us."
39,A Splendid Exchange," A Splendid Exchange outlines the history of global trade, revealing its older than we think, has enabled the progress of civilization, and continues to change the world on a daily basis."
40,A Universe From Nothing,"A Universe From Nothing will enlarge your knowledge of our expanding universe by showing you how it began, what we’re learning about it now, and what will happen to it in the future."
41,A Vindication Of The Rights Of Woman,A Vindication Of The Rights Of Woman will help you make the world a more fair place by teaching some of the gender inequalities of the eighteenth century.
42,A Walk In The Woods,"A Walk In The Woods tells the interesting story of the adventures Bill Bryson and Stephen Katz had while walking the beautiful, rugged, and historic Appalachian Trail."
43,A Whole New Mind,A Whole New Mind is your guide to standing out in the competitive workplace by taking advantage of the big-picture skills of the right side of your brain.
44,A Woman of No Importance,"A Woman of No Importance tells the fascinating and exciting story of Virginia Hall, an American who became one of the best spies for the Allies in World War II and helped significantly in the defeat of Nazi Germany."
45,A World In Disarray,A World In Disarray opens your mind to ways that you make the world more peaceful by guiding you through the major changes in global affairs since World War II.
46,A Year With Peter Drucker," A Year With Peter Drucker compiles 52 lessons with weekly exercises into one comprehensive, year-long curriculum for managers, leaders, and those who aspire to be one or the other, based on the teachings of the father of modern management."
47,Abundance," Abundance shows you the key technological trends being developed today, to give you a glimpse of a future that’s a lot brighter than you think and help you embrace the optimism we need to make it happen."
48,Accidental Genius," Accidental Genius introduces you to the concept of freewriting, which you can use to solve complex problems, exercise your creativity, flesh out your ideas and even build a catalog of publishable work."
49,Accounting Made Simple,"Accounting Made Simple is your guide to learning the fundamental charts, equations, and concepts of managing a business’s financial statements."
50,Adaptive Markets,"Adaptive Markets gives you a better understanding of how the movement of money in the world works by outlining the characteristics of the market, some of which are more like living creatures than you might think."
51,Affluenza,Affluenza asserts that the reason we are so unhappy is because of our obsession with consumption and the sickness that it brings upon ourselves and the world around us as well.
52,Against Empathy,Against Empathy explains the problems with society’s obsession with empathy and explores its limitations while giving us useful alternatives for situations in which it doesn’t work.
53,Age Of Ambition,Age Of Ambition explains how China has gone from impoverished and only developing to a world superpower and economic powerhouse in only the last 30 years. 
54,Age Of Anger,Age Of Anger will help you understand the current state of the world better by explaining how we got to this present situation of upheaval we’re in and how we might stand a chance of making things better.
55,Agile Selling,Agile Selling helps you become a great salesperson by identifying how successful people thrive in any sales position with the skills of learning and adapting quickly.
56,AI Superpowers,"AI Superpowers will help you understand what to expect of the effect that artificial intelligence will have on your future job opportunities by diving into where China and the US, the world’s two leaders in AI, are heading with this breakthrough technology."
57,Alchemy,Alchemy is your guide to making magic happen in business and life by teaching you how to practice irrational thinking to stand out and come up with powerful solutions to your problems and those of others. 
58,Alexander Hamilton,"Alexander Hamilton will inspire you to boldly use your strengths to change the world as it tells the story of a poor orphan who grew to become one of the most intelligent, ambitious, and influential people in American history."
59,Alexander The Great," Alexander The Great is one of the latest, most updated, and contemporary books on the life of the ancient, Macedonian king, who would extend his empire from a little slide of land in Greece through Persia, Egypt, all the way to India, forming the greatest empire the ancient world had ever seen."
60,Algorithms To Live By," Algorithms To Live By explains how computer algorithms work, why their relevancy isn’t limited to the digital world and how you can make better decisions by strategically using the right algorithm at the right time, for example in dating, at home or in the office."
61,Alibaba,"Alibaba shares the inspiring story of Jack Ma’s hard work, entrepreneurial vision, and smart thinking that helped him build one of the most successful and influential companies in the world. "
62,Alibaba’s World," Alibaba’s World is an inside look at one of the world’s largest e-commerce companies from one of its first Western employees, who served as its vice president and head of international marketing for several years, showing how this company turned from startup to global player in just 15 years."
63,All About Love,All About Love teaches you how to get more affection and connection in your relationships by explaining why true love is so difficult these days and how to combat the unrealistic expectations society has set up that makes it so hard.
64,All Marketers Are Liars," All Marketers Are Liars is based on the idea that we believe whatever we want to believe, and that it’s exactly this trait of ours, which marketers use (and sometimes abuse) to sell their products by infusing them with good stories – whether they’re true or not."
65,Alone Together,Alone Together is a book that will make you want to have a better relationship with technology by revealing just how much we rely on it and the ways our connection to it is growing worse and having negative effects on us all.
66,Altered Traits,Altered Traits explores the science behind meditation techniques and the way they benefit and alter our mind and body.
67,Amazon,Amazon will help you make your business better by sharing what made Jeff Bezos’s gigantic company so successful at going from its humble beginnings to now dominating the e-commerce market.
68,Amusing Ourselves To Death, Amusing Ourselves To Death takes you through the history of media to highlight how entertainment’s standing in society has risen to the point where our addiction to it undermines our independent thinking.
69,An American Sickness,"An American Sickness will motivate you to see what you can do to help improve the state of healthcare in the United States by blowing open the recent greed, corruption, and selfishness of healthcare companies."
70,An Astronaut’s Guide To Life On Earth,An Astronaut’s Guide To Life On Earth teaches you how to live better by taking lessons from the rigorous requirements of going to outer space and applying them to everyday life. 
71,An Audience Of One,"An Audience Of One is a practical and inspiring manual for creators who want to live from their art, showing a simple, purpose-driven path to achieve that goal."
72,An Invisible Thread,An Invisible Thread will help you feel more motivated to be kind to others by sharing the heartwarming story of the incredible friendship between a boy afflicted with poverty and a successful businesswoman.
73,Anatomy Of An Epidemic,Anatomy Of An Epidemic teaches you how to make better decisions about your mental health as it uncovers the questionable origin of medication and reveals the interesting connection between psychiatry and pharmaceutical companies.
74,"Animal, Vegetable, Miracle","Animal, Vegetable, Miracle gives ways to improve your health and the environment by learning how to garden, cook, and eat more fruits and vegetables. "
75,Antifragile," Antifragile reveals how some systems thrive from shocks, volatility and uncertainty, instead of breaking from them, and how you can adapt more antifragile traits yourself to thrive in an uncertain and chaotic world."
76,Anything You Want," Anything You Want teaches you how to build a business that’s based on who you are, and can become anything you want it to be, rather than following the traditional paths of startup or corporate culture."
77,Are You Fully Charged," Are You Fully Charged shows you the three keys to arriving at work and life with a battery that’s brimming with happiness and motivation, which are energy, interactions and meaning, and how to implement them in your day."
78,"Arise, Awake","Arise, Awake will inspire you to move forward with your entrepreneurial dreams by sharing the inspirational stories of six Indian entrepreneurs and the lessons they learned on the path to success."
79,As A Man Thinketh," As A Man Thinketh is an essay and self-help classic, which argues that the key to mastering your life is harnessing the power of your thoughts and helps you cultivate the philosophy and attitude of a positive, successful person."
80,Ask,Ask shows you a method that helps you take the guesswork out of the equation so you can give your customers what they want even if they don’t know what they want.
81,At Home," At Home takes you on a tour of the modern home, using each room as occasion to reminisce about the history of its tradition, thus enlightening you with how the amenities and comforts of everyday life you now take for granted have come to be."
82,Atomic Habits," Atomic Habits is the definitive guide to breaking bad behaviors and adopting good ones in four steps, showing you how small, incremental, everyday routines compound into massive, positive change over time."
83,Attached," Attached delivers a scientific explanation why some relationships thrive and steer a clear path over a lifetime, while others crash and burn, based on the human need for attachment and the three different styles of it."
84,Awaken The Giant Within," Awaken The Giant Within is the psychological blueprint you can follow to wake up and start taking control of your life, starting in your mind, spreading through your body and then all the way through your relationships, work and finances until you’re the giant you were always meant to be."
85,Aware,"Aware is a comprehensive overview of the far-reaching benefits of meditation, rooted in both science and practice, enriched with actionable advice on how to practice mindfulness. "
86,Bad Blood,Bad Blood is the story of how Elizabeth Holmes promised the world a medical miracle that actually operated on deception and lies. 
87,Bad Feminist,"Bad Feminist will show you a new way of looking at equality by revealing some not so common ideas about race, gender, and feminism in the United States."
88,Barbarians At The Gate,Barbarians At The Gate shows you how not to run a business and reveals the shocking greed of corporate America in the 1980s by telling the story of the leveraged buyout of RJR Nabisco.
89,Barking Up The Wrong Tree," Barking Up The Wrong Tree turns standard success advice on its head by looking at both sides of many common arguments, like confidence, extroversion, or being nice, concluding it’s really other factors that decide if we win, and we control more of them than we think."
90,Battle Hymn Of The Tiger Mother,Battle Hymn Of The Tiger Mother opens your eyes to the potential benefits of tough love by sharing the traditionally Chinese parenting style and experiences of Amy Chua.
91,Be A Free Range Human,"Be A Free Range Human inspires you to finally quit that 9-5 job that is sucking the life out of you and begin working for yourself by explaining why the “job security” doesn’t exist anymore, helping you discover your passions, and identifying the steps you need to follow if you want to start a life of freedom and happiness."
92,Be Fearless,"Be Fearless shows that radical changes are more effective than small enhancements and urges us to be bold in trying to make progress.
"
93,Be Obsessed Or Be Average,"Be Obsessed Or Be Average motivates you to get your heart into your work and live up to your true potential by identifying the thinking patterns and work habits of the passionate, successful, and driven Grant Cardone."
94,Be Our Guest,Be Our Guest shows you how to take better care of your customers by outlining the philosophy and systems that Disney has for taking care of theirs which have helped it become one of the most successful companies in the world.
95,Becoming,"Becoming motivates you to move forward with your dreams regardless of your circumstances, criticism, or what people think is normal by sharing the life story of Michelle Obama."
96,Becoming The Boss,"Becoming The Boss shows leaders of all kinds, whether new or experienced, how to identify the pitfalls that stand in the way of influencing others for the better and overcome them."
97,Behave,"Behave sets out to explain the reason behind human behavior, good or bad, by exploring the influences of brain chemistry and our environment."
98,Behind The Beautiful Forevers,"Behind The Beautiful Forevers will make you more grateful for what you have, look for ways to tear down corruption in the world, and help the poor by sharing the experiences of people living in the Annawadi slum in India."
99,Behind The Cloud," Behind The Cloud tells the story of Salesforce.com, one of the biggest and earliest cloud computing, software-as-a-service companies in the world and how it went from small startup to billion-dollar status."
100,Benjamin Franklin: An American Life, Benjamin Franklin: An American Life takes a thorough look at the life of one of the most influential humans that ever lived and explains how he could achieve such greatness in so many different fields and areas.
101,Best Self,"Best Self will help you become the hero you’ve always wanted to be by teaching you how to be honest with yourself about what you desire, identify your toxic anti-self, and discover the traits of the greatest possible version of you that you can imagine."
102,Better Than Before," Better Than Before breaks down the latest research on how to break bad habits and develop good ones, in order to help you find your habit tendency and give you a few simple tools to start improving your own habits."
103,Between The World And Me,Between The World And Me helps us all fight prejudice and prepares young black men in the US for growing up by revealing Ta-Nehisi Coates’s reality of life as a black man dealing with racism in America.
104,Big Magic," Big Magic is the book that’ll give you the courage you need to pursue your creative interests by showing you how to deal with your fears, notice ideas and act on them and take the stress out of creation."
105,Big Potential,Big Potential will show you that the real secret to success and thriving in all aspects of life is developing strong connections with others and treating them in a way that lifts them up.
106,Bird By Bird,"Bird By Bird is Ann Lamott’s guide to using the power of routine, being yourself, rolling with the punches, and many other principles to become a better writer."
107,Bit Literacy," Bit Literacy shows you how to navigate the innumerable streams of digital information that flow towards us every single day and not become paralyzed or a slave to technology, thanks to a few simple systems to manage your media."
108,Black Box Thinking," Black Box Thinking reveals that all paths to success lead through failure and what you can do to change your perspective on it, admit your mistakes, and build your own black box to consistently learn and improve from the feedback failure gives you."
109,Blink," Blink explains what happens when you listen to your gut feeling, why these snap judgments are often much more efficient than conscious deliberating, and how to avoid your intuition leading you to wrong assumptions."
110,Blitzscaling," Blitzscaling is the strategy some of today’s most valuable companies have used to achieve huge market shares, insanely fast growth, big profit margins, and become corporate giants in a very short time."
111,Blue Ocean Shift,Blue Ocean Shift guides you through the steps to beating out your competition by creating new markets that aren’t overcrowded.
112,Blueprint,Blueprint helps you have hope for the goodness of the human race by revealing our biologically wired social tendencies that help us survive and thrive by working together.
113,Bold," Bold shows you that exponential technology has democratized the power to change the world and build wealth, by putting it into everyone’s hands and explains which trends entrepreneurs will most benefit from in the future, how to capitalize on them and which challenges are really bold enough to impact us all."
114,Boost!,Boost! is a guide for becoming more productive at work by using the preparation and performance techniques that world-class athletes use to win gold medals.
115,Born A Crime,Born A Crime will inspire you to make great things happen no matter what circumstances you’re born into by revealing the story of how Trevor Noah grew up as a mixed child in South Africa on the way to becoming an adult.
116,Born For This," Born For This shows you how to find the work you were meant to do, which actually might consist of many different forms of work over the course of your life, by showing you the power of a side hustle, proper risk-assessment, creating your own job and pursuing all of your passions – one at a time."
117,Born To Run,"Born To Run explains the natural benefits of long-distance running, and how you can become a better runner too, based on several years of research, experiences, and training."
118,Bounce," Bounce shows you that training trumps talent every time, by explaining the science of deliberate practice, the mindset of high performers and how you can use those tools to become a master of whichever skill you choose."
119,Braiding Sweetgrass,Braiding Sweetgrass offers some great ways for all of us to take better care of and be more grateful for our planet by explaining the way that Native Americans view and take care of it.
120,Brain Rules,"Brain Rules teaches you how to become more productive at work and life by giving proven facts about how your mind works better with good sleep, exercise, and learning with all the senses."
121,Brainfluence,Brainfluence will help you get more sales by revealing people’s subconscious thinking and their motivations in the decision-making process they use when buying.
122,Brainstorm,Brainstorm is a fascinating look into the teenage brain that explains why adolescents act so hormonally and recklessly.
123,Brandwashed,Brandwashed will help you make better buying decisions by identifying the psychological tools that marketers use to turn your own brain against you and make you think that you need to buy their products.
124,Brave,"Brave will help you have the relationships, career, and everything else in life that you’ve always wanted but have been afraid to go for by teaching you how to become more courageous. "
125,Braving The Wilderness," Braving The Wilderness offers a four-step process to find true belonging through authenticity, bravery, trust, and vulnerability since it’s mostly about learning to stand alone rather than trying to fit in."
126,Breakfast With Socrates," Breakfast With Socrates takes you through an ordinary day in the company of extraordinary minds, by linking each part of it to the core message of one of several great philosophers throughout history, such as Descartes, Nietzsche, Marx, and even Buddha."
127,Brief Answers To The Big Questions,"Brief Answers To The Big Questions tackles some of the universe’s biggest mysteries, as Hawking explores the laws that govern the cosmos and the future of humankind. "
128,Broadcasting Happiness,"Broadcasting Happiness is an encouraging resource that will help you boost your health and happiness in your relationships, work, and community by showing you how to unlock the power of positive words and stories."
129,Broke Millennial,Broke Millennial shows those in their twenties and thirties how to manage their finances so that they can stop scraping by and instead begin to live more confidently when it comes to money.
130,Brotopia,Brotopia motivates you to be fairer in the workplace as an employee or employer by revealing the sad sexist state of Silicon Valley.
131,Buddha’s Brain," Buddha’s Brain explains how world-changing thought leaders like Moses, Mohammed, Jesus, Gandhi and the Buddha altered their brains with the power of their minds and how you can use the latest findings of neuroscience to do the same and become a more positive, resilient, mindful and happy person."
132,Building A StoryBrand,Building A StoryBrand is your guide to turning your sales pages and product into an adventure for your clients by identifying the seven steps to successful storytelling as a company and how to craft the clearest message possible so that they will understand and want to be part of it.
133,Building Social Business,"Building Social Business will teach you how to change the world for the better by starting a company that does good for mankind, giving you all the answers about how they work and how to begin one of your own."
134,Built To Last, Built To Last examines what lies behind the extraordinary success of 18 visionary companies and which principles and ideas they’ve used to thrive for a century.
135,Built To Sell,Built To Sell shows you how to become a successful entrepreneur by explaining the steps necessary to grow a small service company and one day sell it.
136,Bullshit Jobs,"Bullshit Jobs asserts that roughly two out of every five people are stuck in work that is bereft of purpose, and these workers could suffer psychological damage as a result. "
137,Business Adventures,"Business Adventures will teach you how to run a company, invest in the stock market, change jobs, and many other things by sharing some of the most interesting experiences that big companies and their leaders have had over the last century."
138,Business Model Generation,"Business Model Generation teaches you how to start your own company by explaining the details of matching your customer’s needs with your product’s capabilities, managing finances, and everything else involved in the planning stages of entrepreneurship."
139,Buyology,Buyology shows you how to spend less money by revealing the psychological traps that companies use to hack your brain and get you to purchase their products without you even realizing they’re doing it.
140,Call Sign Chaos,"Call Sign Chaos is a review of US foreign policy through the eyes of General Jim Mattis, who led forces in Afghanistan and Iraq."
141,Can’t Hurt Me,"Can’t Hurt Me is the story of David Goggins, who went from being overweight and depressed to becoming a record-breaking athlete, inspiring military leader, and world-class personal trainer."
142,Capitalism And Freedom,Capitalism And Freedom helps you understand some of the most important factors protecting your liberty by outlining the government’s role in economics and how things go best when political entities are small and stay out of the flow of money in a country.
143,Capitalism,Capitalism shows you how the movement of money in the world really works by outlining the dominant system in the world and its origins and future.
144,Carrots And Sticks," Carrots And Sticks explains how you can harness the power of incentives – carrots and sticks – to change your bad behaviors, improve your self-control and reach your long-term goals."
145,Cashvertising,"Cashvertising teaches you how to become an expert at marketing by using techniques like using the power of authority, following the three steps of writing a perfect headline, and appealing to the eight basic desires people have instead of spending millions on ads."
146,Catalyst,"Catalyst explains why extraordinary career growth requires the right stimuli at the right time to propel you to the next level, and shows you how to cultivate them."
147,Catch Me If You Can," Catch Me If You Can is the story of how Frank Abagnale, one of the most famous con-artists in history, faked over eight identities, several professions, and cashed over $2.5 million of forged checks in the 1960s, until the police finally caught him at age 21."
148,Change By Design,Change By Design makes you a better problem solver at every aspect of life by outlining the design thinking process that companies can use to innovate and improve.
149,"Change Your Questions, Change Your Life","Change Your Questions, Change Your Life will revolutionize your thinking with questions that create a learning mindset. "
150,Chaos Monkeys," Chaos Monkeys is a fun behind-the-scenes look that lifts the veil on some of the weird, mysterious and sometimes questionable practices going on behind closed doors of mega startups in Silicon Valley."
151,Charlie Munger," Charlie Munger teaches you the investment approach and ideas about life from Warren Buffett’s business partner and billionaire Charlie Munger, which the two have used for decades to run one of the most successful companies in the world."
152,Chasing The Scream,"Chasing The Scream is a scathing review of the failed war on drugs, explaining its history with surprising statistics and identifying new ways that we can think about addiction, recovery, and drug laws."
153,Chernobyl,"Chernobyl teaches some fascinating and important history, science, and leadership lessons by diving into the details of the events leading up to the worst nuclear disaster in human history and its aftermath."
154,Choose Yourself," Choose Yourself is a call to give up traditional career paths and take your life into your own hands by building good habits, creating your own career, and making a decision to choose yourself."
155,Comfortably Unaware,Comfortably Unaware is a well-researched compendium on how our food choices and animal agriculture impact the well-being of the whole planet.
156,Common Sense,Common Sense is a classic piece of US history that will help you see the importance of societies coming together to form a fair governmental system and how these ideas paved the way for the American revolution.
157,Company Of One," Company Of One will teach you how going small, not big when creating your own company will bring you independence, income, and lots of free time without the hassles of having to manage employees, long meetings, and forced growth."
158,Confessions Of An Advertising Man," Confessions Of An Advertising Man is the marketing bible of the 60s, written by “the father of advertising,” David Ogilvy to inspire a philosophy of honesty, hard work and ethical behavior in his industry."
159,Conscious Uncoupling,Conscious Uncoupling will improve your love life by showing you how to break up the right way and why things are going to be okay after you separate from someone you once loved.
160,Contagious,"Contagious illustrates why certain ideas and products spread better than others by sharing compelling stories from the world of business, social campaigns, and media."
161,"Content, Inc."," Content, Inc. describes a six-step model you can use to do your marketing long before you need it, without even having a product, or spending a lot of money, so your entrepreneurial venture will be a guaranteed success."
162,Cooked,"Cooked is a historical exploration of the human relationship with food and cooking, combined with practical ideas on how to improve your diet by preparing more of your own food."
163,Cosmos,"Cosmos will make you smarter by teaching you the basics of how the universe works, including our own solar system and its history."
164,Counterclockwise,Counterclockwise is a critical look at current perspectives on health with a particular focus on how we can improve our own when we shift from being mindless to mindful.
165,Cradle To Cradle,"Cradle To Cradle uncovers the hidden problems with manufacturing, how they affect our planet, and what you can do to help by becoming eco-efficient."
166,Creative Confidence,Creative Confidence helps break the mundanity of everyday work and life by exploring the power that being more innovative has to improve happiness and success in many different areas.
167,Creative Schools, Creative Schools reveals how fundamentally broken our formal education system really is and how we can change our perspective to teach children the competencies and things they actually need to navigate the modern world.
168,"Creativity, Inc."," Creativity, Inc. is an instruction manual for instilling inspiration into employees, managers and bosses, by revealing the hidden forces that get in the way, based on over 30 years of experience of the president of Pixar, Ed Catmull."
169,Cribsheet,"Cribsheet is a smart guide on how to make the best parenting choices for you and your child, by using an economic perspective and evidence-based advice based on scientific data."
170,Crippled America,Crippled America makes you a more informed citizen by sharing the political beliefs and reasoning behind billionaire and businessman Donald J. Trump’s plans to make his country great again.
171,Crossing The Chasm," Crossing The Chasm gives high tech startups a marketing blueprint, in order to make their product get the initial traction it needs to eventually reach the majority of the market and not die in the chasm between early adopters and pragmatists."
172,Crucial Conversations,Crucial Conversations will teach you how to avoid conflict and come to positive solutions in high-stakes conversations so you can be effective in your personal and professional life. 
173,Crush It," Crush It is the blueprint you need to turn your passion into your profession and will give you the tools to turn yourself into a brand, leverage social media, produce great content and reap the financial benefits of it."
174,Crushing It," Crushing It is Gary Vaynerchuk’s follow-up to his personal branding manifesto Crush It, in which he reiterates the importance of a personal brand and shows you the endless possibilities that come with building one today."
175,Dare To Lead," Dare To Lead dispels common myths about modern-day workplace culture and shows you that true leadership requires nothing but vulnerability, values, trust, and resilience."
176,Daring Greatly," Daring Greatly is a book about having the courage to be vulnerable in a world where everyone wants to appear strong, confident and like they know what they’re doing."
177,Dark Money,Dark Money dives into the depths of the greed and corruption in the American political system by revealing the story of the Koch brothers who have been enabling the ultra-wealthy to influence political decisions for decades.
178,Dataclysm,Dataclysm gives powerful motivation for being more honest online by using information collected from the internet to identify what all of us are really like under the veil of anonymity and how we as a society have changed recently.
179,David and Goliath," David and Goliath explains why underdogs win in situations where the odds are stacked unfavorably against them, and how you can do the same."
180,Decisive," Decisive gives you a scientific, 4-step approach to making better decisions in your life and career, based on an extensive study of the available literature and research on the topic."
181,Deep Nutrition,Deep Nutrition will help you get healthier by explaining the danger of modern dieting techniques that are actually doing harm to your body and making you sick. 
182,Deep Thinking,Deep Thinking is a recap of the past fifty years of the information revolution and an attempt to identify where AI technology may lead us.
183,Deep Work," Deep Work proposes that we have lost our ability to focus deeply and immerse ourselves in a complex task, showing you how to cultivate this skill again and focus more than ever before with four simple rules."
184,Delivering Happiness," Delivering Happiness explains how mega online shoe retailer Zappos built a unique company culture and customer experience worth remembering, which turned it into a billion dollar business."
185,Descartes’ Error,Descartes’ Error will help you understand why the argument that the mind and body are disconnected is false by using neuroscience and interesting case studies to identify how the body and our emotions play a vital role in logical thinking.
186,Design To Grow," Design To Grow uses Coca-Cola as an example of how keeping a company stable and flexible at the same time over decades is not only possible, but a must to grow and scale your business across the globe."
187,Design Your Future,Design Your Future motivates you to get out of your limiting beliefs and fears that are holding you back from building a life you love by identifying why you got stuck in a career or job you hate and what steps you must take to finally live your dreams.
188,Designing Your Life,"Designing Your Life will show you how to break the shackles of your mundane 9-5 job by sharing exercises and tips that will direct you towards your true calling that fills you with passion, purpose, and fulfillment."
189,Difficult Conversations,"Difficult Conversations identifies why we shy away from some conversations more than others, and what we can do to navigate them successfully and without stress."
190,Digital Minimalism,Digital Minimalism shows us where to draw the line with technology and how taking time off our digital devices is the key to living a focused life in a noisy world.
191,Digital Renaissance,"Digital Renaissance uses empirical data to show that the digitization of media has led to a flood of art, but that its average quality hasn’t changed."
192,Disrupt Yourself," Disrupt Yourself explains how you can harness the ever-accelerating power of disruptive innovation in your personal life, be it to advance your career or to build a company that thrives, by embracing your limitations, focusing on your strengths and staying flexible and curious along the way."
